内容,标签
【#米哈游商业版图# 间接持股企业超百家】近日，网传《原神》开发商米哈游2022年终奖为108薪，但遭米哈游官方辟谣。据报道，米哈游自2020年9月正式发布《原神》以来，已经累计取得了约41亿美元的收益，在全球手游营收中高居第三。除《原神》外，米哈游还出品了多款游戏产品，包括《崩坏学院2》、《崩坏 展开c,1
"【今日看盘】今日A股三大指数再次大跌，两市共成交13965亿，较前个交易日放量508亿。其中沪指下跌2.66%，收报3262.56点；深成指下跌3.14%，收报10088.06点；创业板指下跌3.79%，收报2060.44点。

24年收官是大跌，25年的第一天也迎来了开门黑。虽然假期没有利好消息，即使预期今天再怎么弱，也想不到能 展开c",1
实时播报： 【前腾讯游戏制作人加入米哈游开发新游戏？相关人士：网传不实】近日，有媒体报道称前腾讯游戏《暗区突围》制作人孙一鸣已加入米哈游，正带队开发一款新游戏项目。记者就此信息求证，据接近米哈游人士表示：消息不实。（新浪科技）,1
"星穹铁道飞霄超话
各位老师，你们好。
有关本次实装周年庆的注意事项都在里面
总结:请不要听信谣言，不要跟风，不要辱骂和诬蔑角色以及我们企划组制作的劳动成果，在有所怀疑的情况下我们将自行查证。
最后，希望第一届飞霄实装周年庆举办圆满成功，感谢各位热爱飞霄将军付出努力的人",0
"啊～（感叹腔）怎么每个人都喜欢这样说话！
“粉霞天女”怎么都得是个泰坦的化身是吧？！
终于给我逮到“造谣”的人了！
#星穹铁道日常##崩坏星穹铁道##新年游好运#",0
"要不是我读过书就真信了白厄的话😭

#崩坏星穹铁道##星穹铁道日常#",0
什么二创啊凪诚士郎本来就玩原神我都看见了我只是说出来而已什么二创又说我二创了瑶郎吗#造谣一张嘴辟谣跑断腿#,0
"原神散兵超话谁在造谣我这两张图？
那个视频断章取义没完了是吧？我什么时候道歉了？谁替我道歉了，我怎么不知道？",0
赞同！该辟谣就拿出证据辟谣好吗米哈游！所以官方要不要顺便发几十女神泪调动下大家情绪还有拜托了真的给我们夏彦小天使一个好点的结局吧现在这刀中舔糖的我要过不下去了,1
#米哈游辟谣年终奖108薪#是都没上过班吗？108薪也信 去年谣传的1600个月薪资就是P的,1
"崩铁白万超话开始一波大发散（纯造谣
《黄/金大饭店》…之前有文本提到过嘛…
本色出演？
阿雅…你为啥觉得可惜…
🦋酱…怎么有点心虚…难道是你写的同人嘛…
主角之一是卖得磨死…其他人呢？",0
"#星穹铁道知更鸟##星穹铁道2.2# @崩坏星穹铁道 假若有一双翅膀，我们便会飞向天空。
-即使，注定有坠落的那一刻。
知更鸟在哥哥的鼓励下一步一步走上舞台，即使被谣言绯闻环绕也不愿放弃，想来就是因为她的坚持和努力才让他她的歌声闻名宇宙",0
暴雪和网易的这次解约，迫使暴雪需要尽快在国内找到合作代理商，那么国内有哪些代理商能接下暴雪全家桶呢?第一个就是腾讯游戏，作为国内游戏的第一把交椅，腾讯无论是经济实力还是能力都可以接下来，但是腾讯方面表示，内被暂时没有相关消息，暴雪版权的问题建议暴雪官方回复为准，从这句话可以看出， 展开c,1
未定，没人在意你官方半夜三点辟谣，都只看你是米哈游就踩罢了，真是搞笑的舆论环境,1
"真理医生是有着紫色心情的女子(造谣)

#崩坏星穹铁道##星穹铁道2.5##星穹铁道真理医生#",0
"那艺娜艺名贝塔+大黑塔=大贝塔（传谣200%

#崩坏星穹铁道##星穹铁道大贝塔#",0
"虚假的资讯：星穹铁道EP❌
真正的资讯：翁法罗斯旅游打卡点⭕
大家都去解锁了吗？
#星穹铁道3.0##星穹铁道翁法罗斯##崩坏星穹铁道#",0
"哈哈哈哈，这就是大家上班的状态，聚众八卦，太真实了！
谣言也是挺搞笑的“混乱是被一场车祸终结的”
敢情列车组还要背锅了！
#崩坏星穹铁道##星穹铁道日常##星穹铁道2.7剧情# L逍遥哥哥__XiaoYao的微博视频",0
"【所有米家游戏一个启动器搞定】
米哈游官方发布了“PC启动器更新预告”，米哈游在文中表示《原神》、《崩坏3》、《崩坏：星穹铁道》等游戏的PC启动器将于近期进行更新，更新内容以及事项将在后续通知中详细说明。
“米哈游启动器”是一款整合了米哈游旗下PC游戏的整合启动器。更新为“米哈游启动器""后 展开c",1
"1、张兰造谣的时候闷着不说话，被封了才急着切割。

2、前几天装深情叫“老婆”，被封了才露出真面目叫“死人”。

3、在张兰干儿子直播间亲眼目睹造谣不出来辟谣，被封了才装作事先不知情。

整件事最冤的地方，是封的太晚了。如果这种品德的巨婴都能靠流量赚到钱，那这个社会也离道德崩坏不远了……",0
见识到了所谓的蹭热度，可能过段时间就删了，但也让我知道现在网络世界的乱，家长大骂游戏群众人，后续上热搜『独家专访丨崩坏3大妈骂群事件完整始末：谣言、代沟、暴力与狂欢 - 哔哩哔哩』O网页链接,0
"#米哈游将接手暴雪中国区运营系谣言#
朋友刚和我说米哈游要接盘，上来就看到辟谣😅。",1
"谁说的，诽谤啊！我怎么可能爱垃圾桶
一点秘密也守不住了……

#星穹铁道2.4##星穹铁道日常##崩坏星穹铁道#",0
崩坏星穹铁道超话 我真的🌿了，这叫达米亚诺斯的狗东西乱翻我手机散播三月谣言给我们造成多大的麻烦，不仅在大地图有图标还给我开活动任务了是吧，恶不恶心呐而且上来就给我说奖励三七分，任务我做奖励他七我三，多大脸啊,0
"#星穹铁道知更鸟##星穹铁道2.2# @崩坏星穹铁道

《崩坏：星穹铁道》发布新PV，这次的主角是我们在匹诺康尼遇到的知更鸟！
知更鸟受邀参加同谐家族的「协乐大典」进行演出，她曾在剧情中“死亡”，但小蚊子猜测她可能进入了更深层次的梦境。在这个梦境中，她要面对自己的过去，而她的选择将决定她是否 展开c",0
"【#米哈游解散CEO带队开发产品#，已研发超过两年仍未上线】
据澎湃新闻报道，11月24日，米哈游发布内部公告，宣布正式解散在研发游戏产品PJSH，对此，米哈游相关负责人称，系内部业务调整。据了解，该产品是由米哈游创始人、《原神》制作人蔡浩宇带队，使用UE5引擎研发、主打二次元开放世界射击游戏， 展开c",1
"崩坏星穹铁道超话#崩坏星穹铁道##星穹铁道日常#
“谣言止于智者”我作为开拓者再怎么懒，也不可能谁纸箱啊",0
"崩铁3.0剧情最讨厌的东西就是达米亚诺斯。
是的就是那个偷看三月七相机，宣扬谣言还不听人解释，试图致敬“伊卡洛斯”飞天未果的那个NPC。
我真不理解为什么剧情设计要救这个NPC下来，哪怕让他摔了，后续剧情救治都行啊。
搞出了一堆乱子，甚至让丹恒都降智到快崩人设了，最后剧情里一点惩罚没有，搞得 展开c",0
"崩坏星穹铁道超话#游戏233##星穹铁道2.0##某媒体称米哈游终止与原神合作#
我记得上次看到这谣言还是原神刚开服的时候，没想到又被翻出来了[花火]
什么我杀我的马剧情，黄姥爷看了都得点个赞
希望过段时间不要看到米哈游跟星铁终止合作的谣言了[流萤]",0
"【】不知道那些莫名其妙的“流//萤偷走了某角色的剧情”“萨//姆和流//萤本来不是一个人是后来强行加上去的”说法是从哪里传出来的，稍微整理了一下几个证据破一下越传越离谱的xnb。
1.流//萤建模首爆是崩铁开服一个月左右，当时还没有任何萨//姆相关信息，萨//姆首次露面是耶佩拉叛乱pv，某女角色设计 展开c",0
"#原神# #原神2.7版本# #荒梦藏虞渊#
mhy现身辟谣了关于“原神赚千亿”的传闻",1
"未定事件簿超话
小伙伴们，我刚刚去联系了米哈游的电话客服，米哈游那边客服都不知道雷雨的事，我就去投诉了一下，希望大家也可以去官方的客服反馈一下这件事。客服根本还不知道。说等官方公告的反馈。大家也都去反应一下啊！！！！",1
#多伦多# 【#米哈游商业版图# 间接持股企业超百家】近日，网传《原神》开发商米哈游2022年终奖为108薪，但遭米哈游官方辟谣。据报道，米哈游自2020年9月正式发布《原神》以来，已经累计取得了约41亿美元的收益，在全球手游营收中高居第三。除《原神》外，米哈游还出品了多款游戏产品，包括《崩坏学院2 展开c,1
"1、算力的总龙头英伟达逆势又涨了3.62%，股价达到852.36美元。
国内通用大模型初创公司MiniMax正在进行新一轮融资，阿里为其中的核心领投方。此前，MiniMax 已完成 3 轮融资，投资方包括腾讯、米哈游等。MiniMax由前商汤科技的核心技术人员创立。
从过去的案例看，阿里投资大模型公司参考了英伟达的模 展开c",1
"#米哈游启动器即将上线# 米哈游官方在米游社发文表示，《原神》、《崩坏3》、《崩坏：星穹铁道》的PC启动器将于近期进行更新，收到更新后，玩家可以选择下载安装“米哈游启动器”。

据介绍，“米哈游启动器”是一款整合了米哈游旗下PC游戏的整合启动器。更新为“米哈游启动器”后，玩家可以使用该启动 展开c",1
@吾立方动画 快说这个是你做的，再来帮米哈游官方辟谣一次吧！（上次是照搬ff14cg）,1
"hanser超话
空之律者很棒
Mzr的行为实在是看呆我了
冲hanser和糖爷的二创，还把二创冲下架了
并且有不少人在贴吧，b站评论里辱骂hanser和糖爷两位cv，用侮辱性词汇称呼hanser，比如jiser什么的，实在是看吐我了。
还有就是这些mzr不仅辱骂，还编造谣言到处带hanser节奏。 所以这叫什么？这是网暴行 展开c",0
#sana#身心崩坏？！#twice##周子瑜# solo出道的恐怖传闻？（3）#金泰亨##朴灿烈##田柾国##momo##名井南# #孙彩瑛##朴志效#O微博问答,0
虽然原神最近挺火的，但是说实话，米哈游的崩坏3玩起来感觉真的挺一般，现在年底了，#米哈游辟谣年终奖108薪#，究竟是自己放消息自己辟谣，还是真有人这么无聊呢？,1
【#米哈游否认接手暴雪中国区运营#】11月17日，随着暴雪宣布与网易不再续约，暴雪系列游戏作品在中国地区的代理成为悬念。今日午间，有市场传闻称另一家游戏公司米哈游或将接手。对此，一位接近米哈游的权威人士对上证报记者表示，这一传闻系谣言。记者注意到，米哈游自成立以来主打自研游戏，目前尚未 展开c,1
"🌟接好运！原来50W星琼的中奖界面是金色的‼️
目前第一期大奖得主已经在米游社发帖认领！
吸吸欧气，同时祝各位开拓者新年快乐
#崩坏星穹铁道##星穹铁道日常##欧皇#",0
大家不要被骗了，明明是三月七开服，请大家2024.3.7号十点准时上线抢uid #星穹铁道倒计时#,0
图一造谣完整版，图二米哈游公告，图三哈哈哈哈崩坏星穹铁道超话原神超话,0
#三角洲行动##游戏悬赏令#“崩坏3粉丝们，新季节来了， 能量满格！有人说三角洲要凉，那是谣言还是挑战？分享你的攻略，证明它的生命力吧！💪داءة新区，谁与争锋？”“” L忒弥斯前台小助理的微博视频,0
"龙...性淫...（bushi）造谣

#崩坏星穹铁道##星穹铁道1.6#",0
"#征探财经日报#
1.【融创就美元债重组向美国法庭申请第15章认证】
9月19日消息，融创于9月19日就美元债重组向美国法庭申请第15章认证，以获得美国法庭对融创在香港法庭有关协议安排重组的认可。据知情人士透露，由于融创美元债受美国纽约法管辖，因此融创在香港进行的债务重组，必须要获得美国第15章认 展开c",1
"#黄晓明在线辟谣输了十个亿##黄晓明否认输了十个亿#
2025年3月，网传“某超一线男星澳门豪赌输光10.3亿”，因部分细节与黄晓明相符，导致其被卷入该传闻。

传闻中提到男星在北京朝阳区拥有独栋别墅，在上海陆家嘴拥有顶级公寓，且资产雄厚，与黄晓明情况有相似之处。网传有“国际金融调查机构”报告显 展开c",1
『独家专访丨崩坏3大妈骂群事件完整始末：谣言、代沟、暴力与狂欢 - 哔哩哔哩』O网页链接,0
"崩坏3超话
喷子们赢了，崩3主持死了
写给崩3玩家，关注崩3超话的玩家，喷子
崩3主持彻底被喷子战胜了，他们如愿以偿，希望看到崩3超话失败，他们成功了，崩3超话已经失败了。
烂主持，破运营，已经在崩3玩家内心中形成见主持必黑的影响，他们做到了。
同时，更加有无数的谣言在网路中散播，让玩家 展开c",0
"【#米哈游商业版图# 间接持股企业超百家】近日，网传《原神》开发商米哈游2022年终奖为108薪，但遭米哈游官方辟谣。据报道，米哈游自2020年9月正式发布《原神》以来，已经累计取得了约41亿美元的收益，在全球手游营收中高居第三。

除《原神》外，米哈游还出品了多款游戏产品，包括《崩坏学院2》、《崩 展开c",1
//@闪电牌拖拉机:来龙去脉搞清了，机械师在查看故障0的时候被撞，还是不 能相3月崩坏星穹铁道超话#集龙宝行龙运# 474信谣言。,0
"崩坏星穹铁道超话
大家补要听某些人的攻略去消协或者其他线上平台举报米哈游啊，要分清主次矛盾呀！

大多数开拓者，去参加崩铁演唱会，最主要的目的是奔着“崩坏星穹铁道的周年演唱会”去的，很少很少（或者说几乎没有人）是只为了谭晶老师去听原版何者。这应该是所有开拓者的共识。

换一种说法 展开c",1
"#米哈游辟谣年终奖108薪#
回应：消息不实。

话说，大家有年终奖吗？
（好多看到是发多一个月工资）",1
"mhy回应年终奖108薪消息不实！

#米哈游辟谣年终奖108薪##米哈游商业版图#",1
"5个瓜

一，张继科公开嘲讽王楚钦淘汰出局，发文祝贺樊振东夺冠，就是在蹭热度，国乒队员没人跟他联系，好让别人都记起他是奥运会冠军，大满贯得主，让自己的培训班再火一把。

二，郭碧婷现在对老公的要求就是不要嗑药赌博就好，自己老公爱招惹已婚女性，这一点他是管都不想管，反正闹到台面上是婆婆 展开c",1
"不是啊 那网上说假唱的视频那么多营销号啥的几乎用的都是相同几个视频 同一段视频甚至时长什么的都一样 不就很明显替换掉那几条的音频然后拿出去传播 除了那几个剩下我就没见过任何人发出去任何一段其他的视频说""假唱""
官方已经发了盖章文件说不存在假唱现象。
1️⃣大摆锤又不是只有那一场有，而且我 展开c",0
"米哈游被曝年终奖发108个月薪水 官方辟谣：消息不实
近日，有传言称米哈游今年给员工发的年终奖高达108个月的薪水，官方对此进行了澄清。
传言称，现在米哈游员工共有4500人，按照底薪8000元计算，108薪就是年终奖864000元，4500个员工共计发放38.88亿元。1月12日，米哈游相关负责人回应称，消息不实。 展开c",1
"#雪梨疑似怀孕#认了恋情！赵一博旧照曝光人设崩坏,站姐深夜关站!女友疑似已怀孕
赵一博被曝恋情后，其团队曾试图用影视资源让爆料人成果闭嘴。随后，赵一博多个大站，包括粉丝人数最多最大的站姐，都发文关站脱粉。

1. 赵一博人设崩塌
赵一博曾经在节目中强调自己致力于性教育，然而网友爆料他只 展开c",1
"#星穹铁道2.2##星穹铁道日常##爱游引力#
他宝贝了个腿，这波提欧素质有待降低。

“笑死了，这帮傻宝编的故事越来越离谱了，还说巡海游侠全部都被原始博士变成长臂猿了，正在哪个山沟里荡秋千呢。” L七月的秋禾的微博视频",0
"【厄敌】奥赫玛爱欲残卷（R）

造谣和分手炮。
红白同名 其他见评

崩铁白万超话#厄敌#",0
"崩坏星穹铁道超话#星穹铁道日常##崩坏星穹铁道##游园集结令#
一番赏第二弹明年第一季度上，第一弹9月20号会再贩
这次的A赏是黄泉双形态毛绒玩偶 嘻嘻和不嘻嘻款，B赏砂金的帽子和眼镜都是可拆的
F赏有黄泉双形态、大小砂金、真理和石膏头款的收纳包
终赏是挂着腰包的卡卡瓦夏",0
"谣言的诞生

崩坏星穹铁道超话 #崩坏星穹铁道#",0
"🦈鲨熙熙的日常

所以吃红土是什么翁法罗斯人的必备经历吗

一想到那刻夏曾经相信过这种谣言就想笑那刻夏看来曾经想长高长壮过hhhhh

#崩坏星穹铁道##星穹铁道3.1##星穹铁道日常#",0
【恋与深空抄袭最终幻想？战斗系统抄袭崩铁？你要不看看你在说什么？】,0
"飞霄藿藿之背后灵（造谣）

#崩坏星穹铁道#",0
"崩坏3超话cosplay超话#二次元cos大赏#
谁和你说我的驾照被吊销了？
#布洛妮娅#",0
"#星穹铁道攻略# #星穹铁道2.4# 崩坏星穹铁道超话
辟谣！那些崩铁大佬用来骗小萌新的鬼话 Lboyue游戏达人的微博视频",0
"崩坏星穹铁道超话【#星铁内鬼公开致歉#】企查查APP显示，近日，法院刊登陈某向上海米哈游影铁科技有限公司公开致歉的公告。#测试玩家就泄露米哈游游戏内容致歉#
公告显示，陈某在未取得米哈游许可的情况下，通过本人QQ账号泄漏、传播了米哈游尚未公开的游戏内容，给米哈游以及《崩坏：星穹铁道》游 展开c",1
"真理医生是一名妩媚的女子（造谣）

#崩坏星穹铁道##星穹铁道真理医生#",0
"崩坏星穹铁道超话#星穹铁道椒丘##崩坏星穹铁道#
造谣一些男美人",0
"这本关于皮皮西的一百个事实

应该叫关于皮皮西的一百个谎言吧

#崩坏星穹铁道##星穹铁道2.6##游园集结令#",0
"崩坏星穹铁道超话#崩坏星穹铁道##星穹铁道攻略##游园集结令#
星天演武仪典特别邀请篇——铄金！
铄金取自【众口铄金】，意思是众人的口像熔炉一样，连金属都能熔化。形容舆论力量巨大，也比喻谣言多使是非混淆。

这次战斗偏向于剧情化，卢卡初次遭遇舆论战，深陷漩涡，这是他比赛中难以避 展开c",0
"就这个米乙爽！
是的，我玩未定事件簿（上台）（整理衣服）
没想到周年庆的大活动会有这么多和原崩铁联动的元素！看的时候“喂你们三家在这联动呢”还有评论区各位姐姐妹妹的周年快乐祝福
看来米哈游在用事实辟谣“未定被开除米籍”这件事！！

#未定事件簿##未定事件簿爱如初见##爱让我们无所不能#",0
"#米哈游启动器# 启动

米哈游官方今日发文表示，将推出PC端整合启动器，《原神》《崩坏：星穹铁道》《崩坏3》等游戏都将被整合在启动器中，待未来更新后玩家可通过启动器直接运行各款游戏。#米哈游启动器即将上线# #游戏新星媒体扶持计划#",1
"《原神》无法打败《崩坏3》，谣言和成见可以

资讯来源：游侠网

没想到，因为同社产品《原神》的接班和爆火，已经被不少玩家视为“dead game”的《崩坏3rd》，居然也有在话题讨论热度上“焕发第二春”的机会。

以至于我在NGA的手游瓜版吃个其他游戏的瓜，都能见到警察出警，《崩坏3》这波是真 展开c",0
"#原神##米哈游辟谣FES定档#
网传原神FES2025将在8月21日举行。2月20日，原神官方账号“派蒙的工作笔记”发布动态进行否认。
在评论区，派蒙还表示“期待下次可以在下雪的日子里与大家相见”。
有玩家猜测是在说今年FES将在冬天举行，也有玩家猜测FES会在至冬版本上线之后举行。
坏消息：FES辟谣了；好 展开c",1
什么？传出丹恒sp新形态谣言快来我还可以再大战一轮,0
"崩坏星穹铁道超话#崩坏星穹铁道##星穹铁道攻略##星穹铁道2.7剧情#

——书接上回📚

知更鸟跟翡翠女士“密谋”，翡翠救出星期日，代价不详。如万维克（one week） 所言：“无价才是最贵的~💰”

星期日出逃，让各大家系之间谣言也扑朔迷离，也让家系们更加团结（？）
猜想，慈玉女士已经上下 展开c",0
"09月20日早间新闻精选
1. 绕道减持？利益输送？证监会最新回应！这一规则将进一步论证评估
2. 投资者请注意！基金中报现“补丁”大战，已有超60只基金发更正公告
3. 共套现3.1亿港元！王兴连续四天减持理想汽车，官方回应了
4. 刘伟接任米哈游董事长“创始人蔡浩宇将投入更多精力在前沿科技”
5. 展开c",1
#崩坏星穹铁道##游戏悬赏令#星穹铁道热议中：花火的纯真岂是谣言可撼？黑子失算，反成笑柄。 看来大家对花火的热爱，比宇宙星辰还要炽烈！ 😂 L舰长待机中的微博视频,0
"#崩坏：星穹铁道#崩坏星穹铁道超话 @帕姆的收藏夹

《崩坏：星穹铁道》x 一番赏 第二弹企划公开~

黄泉、砂金、真理医生、卡卡瓦夏以高人气POTEPOTTE一番赏坐姿毛绒形态登场~~划重点！！黄泉毛绒玩偶将有两种形态可供选择；砂金的帽子及眼镜都可摘；更有超多细节期待与您见面哦~

本次一番赏还将引 展开c",0
#原神小米服务器停运# 米哈游旗下游戏《原神》今日发布公告，由于其与小米服务器合作运营的策略调整，《原神》小米服务器即将关闭停运。为了防止给玩家带来损失，确保正常的游戏体验，旅行者可将小米服务器的账号数据转服至官方服务器 (天空岛服)。具体的转服细节将于11月20日由米哈游官方公布，玩家可 展开c,1
"银河球棒侠:服了，是谁在传我的谣言啊

我什么时候要刺杀阿基维利了
#崩坏星穹铁道##星穹铁道2.5##游园集结令#",0
大黑塔加黄泉就三路通解了，都是半自动过的，之所以是半自动，就是要手动放加拉赫的大招，不然他可以把大招捏到全员阵亡，之前不是说有一路深渊是要开给巡猎的呢，是哪一路，我怎么没看出来难道我听的是谣言,0
"原神超话#原神5.4版本#

官方小派蒙针对近期网传的2025原神FES展会信息进行了紧急辟谣⚠️",0
"崩坏星穹铁道超话这几天磨洋工才把这个任务做完，觉得这位网友说的话狠狠戳到了我。
在最开始尚未完全了解她的故事时，我其实是想抓住她的手的，因为她有才华，也曾不甘被命运愚弄，她是想要改变的，所以我愿意、我也想做推她一把的那个人。但到了故事的最后，我发现她经历了好多苦难，父母的不理 展开c",0
"崩坏星穹铁道超话 恭喜星期日先生在该梗图中完成反杀（

原图在p2，趁版本没更新紧急造谣#星穹铁道星期日##崩坏星穹铁道##星穹铁道砂金#",0
"【#米哈游商业版图# 间接持股企业超百家】
近日，网传《原神》开发商米哈游2022年终奖为108薪，但遭米哈游官方辟谣。据报道，米哈游自2020年9月正式发布《原神》以来，已经累计取得了约41亿美元的收益，在全球手游营收中高居第三。除《原神》外，米哈游还出品了多款游戏产品，包括《崩坏学院2》、《崩 展开c",1
疑似星期日pv抄袭官方滑轨道歉？（假）#星期日 #崩坏星穹铁道#在第八日启程 #星穹铁道星期日#崩坏星穹铁道超话#,0
"【秦始皇的生父到底是吕不韦还是嬴异人？】

嬴异人。

01

首先，秦始皇的母亲赵姬并不是单纯的舞姬。
她很可能是吕不韦当时的姘，拼，拼单女友。
因为史记明确记载，秦始皇作为嬴异人留在赵国的子嗣，之所以能够逃出生天，不是嬴异人有良心，留下了什么高人保护。
而是赵姬出身豪门，祖龙的外祖将自 展开c",0
"崩坏星穹铁道超话#星穹铁道二创##星穹铁道2.0##崩坏星穹铁道#

【砂金养成】【要不要专武】
砂金保不住人？谣言！随便养养都能打 L有悠-穹轨版的微博视频",0
不是…继造谣我收了网易的钱之后又有人问我要米哈游的联系方式了吗在此再次澄清一下，我真的与这两家游戏公司没有任何额外的关系，我只是一个普通的未定、绘旅人双坑开服玩家罢了，不要再试图联想发散找出其他关系了哈哈哈笑得好晕…,1
"【#米哈游商业版图# 间接持股企业超百家】

近日，网传《原神》开发商米哈游2022年终奖为108薪，但遭米哈游官方辟谣。据报道，米哈游自2020年9月正式发布《原神》以来，已经累计取得了约41亿美元的收益，在全球手游营收中高居第三。除《原神》外，米哈游还出品了多款游戏产品，包括《崩坏学院2》、《崩 展开c",1
"原神散兵超话
有一种说法是，米哈游让内鬼先放出消息来试探玩家能不能接受风散，所以散厨们别妥协啊！还有好几个版本咱们争取一下还有机会的！内鬼消息不能全信咱们跟着官方走！官方从来没有透露出任何散兵是风系的迹象甚至有一点辟谣的趋势！所以大家别信风散别妥协风散啊！",1
